SiteUnit,Species,MeanCov,Constancy,nPlots
SBS dw 2 /06,CHAMANG,0.721052631578947,100,19
ICH mc 2 /05,TIARTRI2,0.96,40,25
SBPSxc   /01,CETRARI,0.797959183673469,26.530612244898,49
SBPSmc   /01,PINUCON2,12.1068965517241,100,29
ICH wk 2 /07,PTILCRI,1.66666666666667,66.6666666666667,9
ICH mc 2 /01,RHYTLOR,1.34313725490196,8.49673202614379,153
ESSFwm 2 /112,RIBELAC,0.214285714285714,28.5714285714286,7
ICH mw 4 /114,ACONCOL,0.66,40,5
ESSFwv   /01,VACCOVL,6.768,80,25
ESSFwcw  /101,BRACHYT,5.09230769230769,74.3589743589744,39
ICH mw 3 /06,MAIARAC,0.284615384615385,42.3076923076923,26
ESSFmm 3 /111,TIARTRI2,1.26454545454545,72.7272727272727,11
ESSFdc 2 /104,CLADGRA,2.78571428571429,11.9047619047619,42
BWBSmw   /111,PICEGLA,19.2351351351351,97.2972972972973,37
MS  dk   /110,ACTARUB,0.303529411764706,38.2352941176471,34
IDF ww   /05,CORNSER,3.04,40,5
ESSFwm 3 /111,ABIELAS,18.7605,100,20
IDF dh   /104,ACHIMIL,0.7,90,10
SBS dk   /01,PYROASA,0.533333333333333,60.6060606060606,33
SBS mk 1 /01,PINUCON2,14.8235294117647,82.3529411764706,17
MS  dm 1 /110,LINNBOR,1.625,58.3333333333333,12
SBS vk   /01,PICEENE,7.81221739130435,69.5652173913044,46
BWBSmk   /111,ROSAACI,9.02765957446809,97.8723404255319,47
ESSFmw 1 /103,CHAMANG,0.2625,50,8
SBS mc 2 /09,SAMBRAC,0.16,40,15
ICH mc 2 /07,TIARTRI,2.11538461538462,69.2307692307692,13
IDF dk 5 /101,PELTAPH,0.2824,30.5882352941177,85
ESSFwcw  /101,ABIELAS,24.6282051282051,100,39
SBS mw   /02,HIERALI,0.0666666666666667,66.6666666666667,3
ESSFwc 4 /110,ABIELAS,17.9684210526316,100,19
BWBSwk 1 /111,MITENUD,1.775,87.5,8
ICH mk 3 /05,MAIASTE,2.62,100,5
ICH mc 1 /01,LINNBOR,1.06756756756757,40.5405405405405,37
SBS mc 2 /10,BRACHYT,4.05555555555556,44.4444444444444,9
BG  xw 2 /115,CALARUB,4.75,37.5,8
MS  xv   /01,PICEENE,5.40882352941177,80.8823529411765,68
ESSFvc   /01,VACCMEM,15.6315789473684,100,19
ICH wk 1 /101,GOODOBL,0.361940298507463,58.2089552238806,67
ESSFvc   /01,DRYOEXP,4.86842105263158,63.1578947368421,19
BWBSmw   /101,HERAMAX,0.0808510638297872,14.8936170212766,47
BWBSdk   /101,MERTPAN,1.32485567010309,65.979381443299,97
ICH mw 3 /06,HYLOSPL,18.7692307692308,57.6923076923077,26
IDF dk 5 /101,PLEUSCH,32.0941176470588,100,85
PP  xh 1 /101,ANTEDIM,0.103030303030303,24.2424242424242,33
IDF dk 4 /01,CORNSER,0.636363636363636,9.09090909090909,22
IDF dk 4 /02,DICRANU,1.06,60,5
ESSFmk   /01,CLADCHL,0.05,16.6666666666667,18
ESSFxc 2 /103,PICEENG,11.753488372093,93.0232558139535,43
SBPSdc   /05,VACCCAE,1.81428571428571,100,7
IDF ww   /03,FESTUCA,0.233333333333333,27.7777777777778,18
IDF dm 1 /104,ANTEUMB,0.933333333333333,26.6666666666667,15
SBS wk 1 /06,AMELALN,0.332142857142857,35.7142857142857,28
SBS wk 3 /07,TIARTRI,0.6375,75,8
ICH wk 1 /101,TAXUBRE,3.05522388059701,61.1940298507463,67
ICH wk 1 /110,NEOTCOR,0.130508474576271,23.728813559322,59
SBS mk 2 /02,LINNBOR,3.58333333333333,83.3333333333333,6
SBS wk 1 /01,PLAGMED,1.1416875,33.3333333333333,48
BWBSmk   /101,ELYMGLA,0.131521739130435,6.52173913043478,92
ESSFwh 2 /110,MENZFER,13.4263157894737,94.7368421052632,19
SBS wk 1 /07,EQUISYL,2.7556875,75,16
MS  xk 1 /101,SHEPCAN,1.56666666666667,60,30
ICH mw 4 /101,CORAMAC,0.031,15,20
SBPSmk   /01,CARECOC,0.107894736842105,10.5263157894737,38
BWBSmk   /101,EMPENIG,0.139130434782609,10.8695652173913,92
BG  xw 2 /111,OCHRUPS,0.169230769230769,15.3846153846154,13
SBS mm   /01,STRELAN,1,25,8
IDF dk 2 /111,GEUMMAC,0.192307692307692,15.3846153846154,13
ESSFwc 2 /03,PTILCRI,4.1140350877193,33.3333333333333,57
SBS wk 2 /01,PLEUSCH,12.8433333333333,96.969696969697,33
ICH mw 3 /07,CORNCAN,7.57692307692308,100,13
ICH mk 3 /06,STREAMP,1,75,4
ICH mk 3 /08,RANUUNC,0.55,75,4
ICH mc 2 /01,HYLOSPL,40.7156862745098,96.7320261437909,153
ESSFmv 1 /03,CORNCAN,2.28888888888889,100,9
ESSFxc 2 /103,PINUCON2,10,55.8139534883721,43
MS  xk 2 /101,DICRPOL,0.888888888888889,22.2222222222222,27
BWBSwk 1 /110,PLEUSCH,15.5,83.3333333333333,6
SBS mw   /04,PYROASA,0.0442857142857143,28.5714285714286,14
SBS wk 1 /05,ARALNUD,1.14166666666667,83.3333333333333,12
ESSFwc 2 /01,ABIELAS,25.1666904761905,100,84
PP  xh 2 /110.1,BRYOFUS,0.714285714285714,42.8571428571429,7
BWBSmk   /111,MITENUD,4.07234042553192,78.7234042553192,47
IDF dk 2 /111,RIBEHUD,1.66923076923077,38.4615384615385,13
ICH mc 2 /01,CLINUNI,1.34183006535948,48.3660130718954,153
ESSFxv 2 /02,ARTENOR,0.28125,18.75,16
BWBSmw   /104,CHAMANG,0.596774193548387,67.741935483871,31
ESSFwh 1 /101,STREAMP,0.285714285714286,34.2857142857143,35
IDF dk 2 /101,THALOCC,0.141584158415842,16.8316831683168,101
IDF dk 3 /01,BRACHYT,0.255459459459459,24.3243243243243,37
SBS mk 2 /01,PLEUSCH,34.1631578947368,100,19
MS  dm 2 /113,GEUMMAC,0.458333333333333,33.3333333333333,12
ESSFmh   /103,BROMVUL,0.011,20,10
BWBSmk   /104,VACCVIT,8.54392523364486,92.5233644859813,107
ESSFwm 4 /101,RHYTROB,1.50555555555556,38.8888888888889,18
SBS dw 1 /01,ARALNUD,7.48918918918919,89.1891891891892,37
SBS dw 3 /08,MAIARAC,0.8375,87.5,8
SBS mc 2 /06,PICEENG,1.84615384615385,23.0769230769231,13
BWBSmw   /Wb09,CAREGYN,0.675,25,12
SBS mw   /09,CORNCAN,5.6,80,5
MS  dk   /111,MENZFER,0.705882352941177,35.2941176470588,17
IDF xx 2 /104,PSEUMEN,9.63333333333333,73.3333333333333,15
MS  xk 2 /112,MITELLA,0.0714285714285714,14.2857142857143,14
ESSFdk 2 /104,LETHVUL,0.241379310344828,27.5862068965517,29
SBPSxc   /01,PIPTPUG,0.357142857142857,71.4285714285714,49
SBS dk   /06,PTILPUL,0.181818181818182,36.3636363636364,22
MS  dm 2 /102,VULPPIN,0.181818181818182,18.1818181818182,11
ICH mw 5 /110,STRESTR,0.128571428571429,28.5714285714286,7
MS  dm 2 /104,CLADCEN,0.05,8.33333333333333,24
MS  dm 1 /112,ATHYFIL,15.9,100,10
ESSFmm 3 /101,VACCMEM,8.70588235294118,91.1764705882353,34
MS  xv   /02,LINNBOR,1.74,90,10
SBS mh   /05,GALITRF,0.100909090909091,72.7272727272727,11
ESSFwc 4 /102,LONIUTA,0.725,62.5,8
SBS wk 1 /06,MITENUD,0.0393214285714286,28.5714285714286,28
SBS dw 1 /01,RUBUIDA,0.0864864864864865,13.5135135135135,37
BWBSmk   /112,PETAFRI3,0.471176470588235,29.4117647058824,17
SBS mc 2 /01,RUBUPED,5.69309734513274,66.3716814159292,113
ESSFwc 2 /03,LYCOANN,0.289824561403509,35.0877192982456,57
MS  dm 2 /112,ATHYFIL,5.14,60,5
IDF dm 2 /102,HOMALOH,6.9375,50,8
SBPSxc   /02,PELTIGE,12.5222222222222,88.8888888888889,27
ESSFwc 4 /101,RIBELAC,0.545945945945946,51.3513513513514,37
SBS wk 2 /06,PETAFRI3,0.103333333333333,55.5555555555556,18
ICH mc 1 /03,PTILCRI,16.6785714285714,92.8571428571429,14
IDF mw 2 /03,SHEPCAN,0.964285714285714,35.7142857142857,14
ICH mw 2 /104,CLINUNI,3.15185185185185,66.6666666666667,27
BWBSmk   /101,CHAMANG,0.461956521739131,55.4347826086957,92
MS  xk 1 /105,CALARUB,2.9125,68.75,16
ESSFwc 2 /03,DICRANU,7.68421052631579,50.8771929824562,57
ESSFmk   /01,STRELAN,2.25,38.8888888888889,18
ESSFmw 1 /103,ARNICOR,1.75,37.5,8
MS  xk 2 /102,PINUCON2,12.6888888888889,66.6666666666667,9
ICH dk   /06,MAIASTE,0.833333333333333,100,3
ESSFwc 2 /01,RHODALB,26.0357142857143,90.4761904761905,84
MS  dw   /104,SPIRLUC,5.375,95.8333333333333,24
SBS wk 1 /01,STRELAN,3.71458333333333,83.3333333333333,48
SBS mm   /06,PTILCRI,0.833333333333333,33.3333333333333,9
ESSFxc 1 /110,LONIINV,0.1625,31.25,16
MS  dm 1 /111,SPIRLUC,0.868421052631579,36.8421052631579,19
IDF dm 2 /101,SHEPCAN,4.45978723404255,68.0851063829787,47
ESSFmm 3 /103,RHODALB,2.82,64,25
ICH dm   /103,VACCMEM,5.80952380952381,38.0952380952381,21
MS  dm 2 /101,PICEENE,7.40933333333333,60,75
ICH mk 2 /05,VACCMEM,2.64230769230769,80.7692307692308,26
IDF xk   /102,KOELMAC,2.97,90,10
ICH mw 5 /101,TIARTRI2,0.776923076923077,61.5384615384615,13
ESSFwc 4 /112,GYMNDRY,2.75,66.6666666666667,6
MS  dm 1 /112,CLINUNI,7.55,100,10
ICH wk 1 /110,CIRCALP,1.00847457627119,37.2881355932203,59
ESSFxv 2 /05,EMPENIG,0.357142857142857,42.8571428571429,7
SBS mw   /11,PLATORB,0.0334166666666667,33.3333333333333,12
ICH xw   /111,GOODOBL,0.2,50,10
ICH wk 4 /01,TSUGHET,32.2,100,20
SBS mc 2 /05,ROSAACI,0.933333333333333,83.3333333333333,18
ICH wk 2 /07,CIRCALP,5.02222222222222,77.7777777777778,9
SBS dk   /01,ORTHSEC,0.857575757575758,63.6363636363636,33
IDF ww   /05,POPUTRI,3.4,60,5
ESSFdh 1 /102,PAXIMYR,6.5,100,2
SBS mc 2 /01,AMELALN,0.15070796460177,16.8141592920354,113
IDF dk 2 /104,SPIRLUC,5.67804878048781,90.2439024390244,41
IDF dk 3 /07,SANIUNC,0.516666666666667,33.3333333333333,6
SBS wk 1 /01,ARUNDIO,0.177083333333333,14.5833333333333,48
MS  xk 1 /101,DICRFUS,0.35,13.3333333333333,30
SBS wk 1 /08,ATHYFIL,7.64,95,20
ICH wk 1 /104,ADENBIC,0.0466666666666667,8.88888888888889,45
ESSFwh 3 /111,GALITRF,0.77,65,20
IDF dm 2 /104,CALARUB,21.0111111111111,97.2222222222222,36
IDF xh 1 /110,POHLNUT,0.125,7.14285714285714,28
ESSFmw   /05,RHYTROB,10.3857142857143,71.4285714285714,7
ICH mc 2 /03,CLINUNI,1.425,60,20
ESSFmv 4 /04,PLATOBT,0.0333333333333333,33.3333333333333,6
ESSFdc 1 /101,VACCSCO,2.39722222222222,44.4444444444444,36
ICH mc 2 /01,DICRANU,0.241830065359477,10.4575163398693,153
ESSFwc 3 /02,RUBUPED,2.68888888888889,88.8888888888889,9
ICH xw   /102,BALSSAG,0.19,44.4444444444444,9
SBS mc 2 /06,BRACSAL,0.861538461538462,30.7692307692308,13
ESSFmm 3 /110,VACCSCO,0.0266666666666667,13.3333333333333,15
MS  xv   /01,POLYJUN,0.0971470588235294,14.7058823529412,68
ICH xw   /111,ATHYFIL,1.26,90,10
BWBSdk   /101,PICEGLA,22.0299072164948,96.9072164948454,97
IDF dk 2 /101,VIOLADU,0.01,2.97029702970297,101
ESSFmv 4 /04,ELYMGLA,1.01666666666667,33.3333333333333,6
ESSFmcw  /110,SANGSTI,0.495454545454546,40.9090909090909,22
BG  xw 2 /110,PELTRUF,0.611111111111111,22.2222222222222,9
SBS dw 3 /02,ARCTUVA,11.25,100,4
ICH vk 1 /04,CORNCAN,5.36666666666667,80,15
IDF xk   /102,PHACLIN,0.02,20,10
SBPSmk   /04,VACCMEM,0.538461538461538,23.0769230769231,13
SBS mh   /01,RHYTTRI,6.50769230769231,84.6153846153846,13
MS  xv   /01,JUNICOM,1.92505882352941,73.5294117647059,68
ESSFdkw  /103,PICEENG,8.67391304347826,73.9130434782609,23
ESSFmw 1 /110,PLATGLA,0.363636363636364,18.1818181818182,11
ESSFmc   /05,RUBUPED,0.75,100,2
SBS mc 2 /01,ABIELASD,0.134513274336283,23.0088495575221,113
SBS wk 1 /10,TRIEEUR,0.05,16.6666666666667,12
ICH mk 2 /01,THUJPLID,0.0540540540540541,10.8108108108108,37
MS  dm 2 /101,ABIELAS,17.328,90.6666666666667,75
ICH wk 1 /01,PLEUSCH,13.5208333333333,79.1666666666667,24
SBS dw 2 /04,ROSAACI,1.93333333333333,100,6
ESSFdk 2 /102,MAIARAC,0.44,80,5
ESSFmv 2 /02,DICRANU,0.772727272727273,36.3636363636364,11
ESSFwc 3 /02,STERALP,0.0222222222222222,22.2222222222222,9
MS  xk 1 /110,SYMPCII,0.136363636363636,18.1818181818182,11
SBS mc 3 /01,ALNUALN2,8.625,50,8
ESSFwm 1 /111,MNIUSPN,1.8,20,10
BWBSmk   /104,HYLOSPL,41.5467289719626,97.196261682243,107
SBS wk 1 /10,RUBUPUB,1.93333333333333,83.3333333333333,12
ICH wk 1 /110,VACCMEM,1.18135593220339,47.4576271186441,59
ESSFwh 2 /101,PICEENE,0.3,15,20
SBS mw   /04,PELTRUF,0.0142857142857143,14.2857142857143,14
ESSFmv 2 /01,SANGSTI,0.05,10,50
IDF dm 2 /101,DICRSCO,0.0640425531914894,8.51063829787234,47
SBS mk 2 /01,ABIELAS,12.8684736842105,73.6842105263158,19
ICH mk 3 /01,NEOTCOR,0.633333333333333,72.2222222222222,18
SBS wk 1 /11,PELTAPH,0.2625,62.5,16
BWBSdk   /112,SALIBEB,0.625,18.75,16
SBS dw 1 /01,SYMPCII,0.305405405405405,64.8648648648649,37
PP  xh 2 /110.2,GALIBOR,0.115384615384615,15.3846153846154,13
IDF ww   /01,DICRFUS,1.43184210526316,44.7368421052632,38
MS  dk   /101,ANTIOCC,0.117647058823529,23.5294117647059,17
BWBSwk 3 /101,ABIELAS,27,71.4285714285714,7
BG  xw 1 /102,ASTRTEN,0.12,40,5
ICH wk 1 /110,RHIZNUD,4.09322033898305,38.9830508474576,59
IDF dk 2 /110,ADENBIC,0.00885294117647059,5.88235294117647,34
IDF xh 1 /104,HIERACI,0.106666666666667,26.6666666666667,45
SBPSmk   /04,CHIMUMB,0.823076923076923,61.5384615384615,13
ESSFwh 3 /104.1,PAXIMYR,1.58157894736842,78.9473684210526,19
ESSFmm 3 /112,SALICOM,7.5,33.3333333333333,6
SBS mw   /02,POLYJUN,6.33333333333333,100,3
IDF xm   /07,LATHOCH,0.55,75,4
SBS wk 1 /07,CIRCALP,0.051875,31.25,16
MS  xk 1 /112,PETAFRI,0.3125,37.5,8
MS  dw   /110,BERBAQU,0.0523809523809524,19.0476190476191,21
IDF dk 2 /111,PLAGIOM,7.46153846153846,38.4615384615385,13
SBS wk 1 /05,ORTHSEC,0.13675,83.3333333333333,12
SBS dw 1 /08,GOODREP,0.22,40,5
BWBSmk   /111,VIBUEDU,7.56170212765957,89.3617021276596,47
ESSFwm 2 /101,THALOCC,0.229583333333333,16.6666666666667,24
MS  dm 1 /110,STRESTR,0.291666666666667,25,12
IDF dm 2 /104,PURSTRI,0.247222222222222,11.1111111111111,36
SBS dw 3 /09,PLEUSCH,19.8571428571429,85.7142857142857,7
ESSFwc 2 /01,ORTHSEC,0.33452380952381,34.5238095238095,84
ESSFmm 3 /101,DRYOEXP,0.0679705882352941,23.5294117647059,34
SBS mc 3 /04,VACCCAE,4.16666666666667,83.3333333333333,6
IDF xh 2 /103,LITHRUD,0.414285714285714,57.1428571428571,21
MS  xk 2 /101,VACCCAE,0.97037037037037,33.3333333333333,27
ICH wk 1 /04,PTERAQU,0.293023255813954,25.5813953488372,43
SBS mw   /05,ARNICOR,0.15,33.3333333333333,18
ESSFmw   /01,LONIUTA,0.155555555555556,11.1111111111111,27
SBS mc 1 /01,RUBUPAR,0.696153846153846,46.1538461538462,26
BWBSdk   /111,RIBETRI,1.54666666666667,60,15
IDF mw 2 /04,GYMNDRY,16,100,6
ICH wk 4 /01,PLEUSCH,12.805,85,20
IDF xx 1 /104,PINUPON,27.9230769230769,100,13
SBS wk 1 /06,CLINUNI,2.225,82.1428571428571,28
SBS dk   /03,GALIBOR,0.192307692307692,53.8461538461539,13
ESSFdc 2 /101,VALESIT,6.865,90,40
SBS mh   /01,LONIINV,1.80769230769231,76.9230769230769,13
SBPSdc   /03,CLADONI,6.2,100,11
MS  dc 2 /01,PAXIMYR,1.1,40,10
ESSFwk 1 /02,ARNILAT,0.080952380952381,38.0952380952381,21
ICH mk 3 /01,VIOLORB,0.683333333333333,61.1111111111111,18
SBPSmc   /01,VIBUEDU,0.327586206896552,17.2413793103448,29
ESSFwm 4 /103.2,RIBELAC,0.0588235294117647,11.7647058823529,17
IDF xm   /08,POPUTRE,1.0375,37.5,8
BG  xw 2 /114,SYMPCII,1.05714285714286,57.1428571428571,7
MS  dk   /104,MENZFER,7.5,83.3333333333333,6
ESSFdk 2 /112,RUBUPED,0.75,37.5,8
BWBSdk   /Wb09,TOMENIT,6.14761904761905,47.6190476190476,21
ESSFwk 1 /01,CHAMANG,0.16551724137931,68.9655172413793,29
IDF dk 2 /101,AMELALN,0.93960396039604,54.4554455445545,101
SBS mc 1 /02,LINNBOR,1,100,3
ICH mc 2 /05,ABIELAS,5.54,56,25
ICH xw   /103,SYMPALB,5.03333333333333,90.4761904761905,21
ESSFxc 2 /111,ABIELAS,27.0769230769231,100,13
IDF dm 1 /104,BERBAQU,0.893333333333333,60,15
MS  dm 1 /111,CHAMANG,0.394736842105263,26.3157894736842,19
ESSFdc 2 /101,HERAMAX,0.0625,5,40
BWBSmw   /111,SORBSCO,0.291891891891892,16.2162162162162,37
ESSFmv 2 /01,RUBUPUB,0.313,22,50
IDF xm   /05,TARAOFF,0.0333333333333333,22.2222222222222,9
ICH mc 2 /01,PTILIDI,0.0130718954248366,1.96078431372549,153
ICH mk 2 /05,MAIARAC,1.41538461538462,69.2307692307692,26
ICH mk 2 /01,PTILCRI,10.8648648648649,67.5675675675676,37
IDF xm   /08,MAIASTE,0.25,62.5,8
SBS mk 2 /01,ARALNUD,8.05789473684211,57.8947368421053,19
MS  xv   /05,AULAPAL,0.0571428571428571,28.5714285714286,7
ESSFwk 1 /01,PLAGDEN,0.248275862068966,17.2413793103448,29
ESSFxc 1 /104,PLEUSCH,0.789473684210526,21.0526315789474,19
SBS dw 2 /06,MELALIN,0.0947368421052632,68.421052631579,19
MS  xk 2 /112,RUBUPAR,0.157142857142857,14.2857142857143,14
SBS dw 3 /08,MITENUD,3.95,100,8
MS  dk   /105,GALIBOR,0.105263157894737,21.0526315789474,38
MS  dw   /104,ORTHSEC,0.1925,45.8333333333333,24
ESSFwm 1 /101,LUZUPAR,0.695,30,20
ICH mk 3 /01,STRELAN,0.255555555555556,44.4444444444444,18
SBS dk   /06,CHAMANG,3.32727272727273,77.2727272727273,22
MS  dm 2 /111,VACCSCO,1,35.7142857142857,28
BWBSmk   /101,CORNSER,0.135869565217391,11.9565217391304,92
ESSFmw 1 /111,PLATSTR,0.05,33.3333333333333,6
ICH wk 2 /08,CICUDOU,0.225,37.5,8
MS  dm 1 /112,OSMOBER,0.85,60,10
ESSFxv 2 /02,VACCCAE,3.08125,75,16
ESSFdk 2 /102,AMELALN,0.64,60,5
ESSFxv 2 /04,LUPIARC,0.82,40,10
ESSFdh 1 /104,OSMOBER,0.625,37.5,8
IDF xh 2 /103,ASTRMIS,0.219047619047619,23.8095238095238,21
ESSFmcw  /102,BARBLYC,10.0384615384615,61.5384615384615,13
SBS mw   /05,PETAFRI3,0.144444444444444,55.5555555555556,18
ICH mw 4 /101,LINNBOR,3.27,70,20
BWBSmw   /111,ARALNUD,0.57027027027027,21.6216216216216,37
SBS mh   /04,PROSTRA,1.6375,100,8
ICH dk   /06,RUBUPED,3.33333333333333,66.6666666666667,3
SBPSmk   /01,PELTAPH,0.726315789473684,81.5789473684211,38
SBS dk   /01,AMELALN,0.851515151515152,75.7575757575758,33
SBS wk 1 /05,PLEUSCH,16.135,83.3333333333333,12
SBS dw 2 /07,FRAGVIR,0.3,100,6
ESSFdk 1 /103,PSEUMEN,0.25,30,10
ICH mw 3 /06,CORNSER,0.123076923076923,15.3846153846154,26
ESSFdk 2 /112,PICEENG,14.125,87.5,8
IDF xk   /101,ALLICER,0.366666666666667,66.6666666666667,6
SBS mk 2 /05,TIARTRI,0.108333333333333,41.6666666666667,12
ESSFdh 1 /104,PLEUSCH,1.9875,62.5,8
MS  dm 2 /113,PICEENE,15.55,100,12
ICH mc 2 /05,LINNBOR,1.48,56,25
ICH wk 1 /04,VACCMEM,1.92325581395349,86.046511627907,43
ESSFwm 1 /110,VIOLA,0.28,26.6666666666667,15
SBS mw   /01,LINNBOR,3.72307692307692,100,26
ICH mw 5 /112,RUBUPAR,5.125,75,8
ESSFdk 1 /110,VACCMEM,3.32142857142857,57.1428571428571,14
IDF xh 1 /110,DICRANU,1.50714285714286,14.2857142857143,28
MS  xv   /01,PELTIGE,1.17058823529412,47.0588235294118,68
SBS mc 3 /08,VIBUEDU,2.3125,87.5,8
ESSFwm 1 /101,THALOCC,0.53,50,20
SBS dw 2 /01,SPIRDOU,0.0179487179487179,7.69230769230769,39
ESSFxc 2 /101,PELTAPH,0.87037037037037,37.037037037037,27
ICH dk   /06,CORNCAN,2,100,3
