"","PlotNumber","CRUST","FORB","GRASS","LICHEN","LIVERWO","MOSS","POA_ABB","POA_ALP","POA_ARC","POA_CUS","POA_FEN","POA_GLA","POA_INF","POA_LAX","POA_PRA","POA_SEC","POA_STE","POA_WHE"
"29","EAGLE24",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"30","F15009",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","GATE24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"32","K00-099",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"33","K00-752",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","K00-753",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","K001018",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","K001431",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"37","K01-413",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"38","K01-505",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"39","K01-538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"40","K01-697",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","K01-765",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"42","K01-792",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"43","K01-818",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","K01-912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"45","K01-990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"46","K011016",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"47","K011036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"48","KC165",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"49","LPED13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"50","MAD2239",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","PA7246",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"52","PD00397",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"53","PD00406",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"54","RS23258",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"55","SD2068",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"56","TECK059",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"57","TECK561",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"58","TECK562",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"59","TECK568",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"60","TECK574",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"61","TECK579",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"62","TECK600",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"63","TECK612",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"64","TECK614",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
